type_group_key,type_set_label,n_types,primary_type,incident_count
1638,18|34|35|37|55|63|72|102,8,37,12
1639,18|34|35|42|77|97,6,42,12
1640,18|34|35|44|55|102,6,44,12
1641,18|34|35|53,4,53,12
1642,18|34|80|81,4,81,12
1643,18|35|37|55|62|100,6,100,12
1644,35|36|39,3,36,12
1645,35|37|41|48,4,37,12
1646,35|37|48|55|62|63|72,7,37,12
1647,35|38|40,3,40,12
1648,35|40|41|55|102,5,40,12
1649,35|42|43|48|52,5,42,12
1650,35|43|48|53,4,53,12
1651,35|43|55|58|62,5,58,12
1652,35|43|55|58|77|97,6,58,12
1653,35|43|55|63|70|102,6,70,12
1654,35|44|55|102,4,44,12
1655,35|48|52|54,4,52,12
1656,35|48|54|55|58,5,58,12
1657,35|48|55|62|80|83,6,83,12
1658,35|48|55|63|70|102,6,70,12
1659,55|58|60,3,60,12
1660,55|61|63|70,4,61,12
1661,55|76|97|102|107,5,107,12
1662,63|69|70,3,69,12
1663,63|70|91|96,4,91,12
1664,74|75|80|83|97|112|113|118|120|122,10,83,12
1665,74|75|97|112|113|118|120|124,8,118,12
1666,74|76|77|97|107|111|120,7,107,12
1667,74|76|97|107|124,5,107,12
1668,74|77|97|121,4,121,12
1669,75|79|97|118,4,79,12
1670,75|97|112|114|119,5,114,12
1671,88|96,2,88,12
1672,1|2|13|14,4,2,11
1673,1|2|84|86,4,86,11
1674,1|3|35|41|55|102,6,3,11
1675,1|4|5|8|35|43,6,4,11
1676,1|4|35|43|48,5,4,11
1677,1|4|35|48|55|102,6,4,11
1678,1|4|35|52|55|102,6,4,11
1679,1|4|55|58,4,4,11
1680,1|5|6|80|81,5,6,11
1681,1|5|8|91|96,5,91,11
1682,1|5|35|43|49,5,49,11
1683,1|5|35|48|55|62,6,5,11
1684,1|6|35|48|63|72,6,6,11
1685,1|8|10|55|102,5,10,11
1686,1|8|35|48|52,5,8,11
1687,1|8|35|48|63|72,6,8,11
1688,1|10|18|20,4,10,11
1689,13|14|18|34|55|102,6,14,11
1690,13|14|55|77|97|102,6,14,11
1691,18|19|20|35|52|63|72,7,19,11
1692,18|19|35|48|52|55|63|72|102,9,19,11
1693,18|19|63|69|72,5,69,11
1694,18|20|22|55|63|72|102,7,22,11
1695,18|20|25|35|48|55|63|72|102,9,25,11
1696,18|20|29|63|72,5,29,11
1697,18|20|34|35|101,5,20,11
1698,18|20|35|37|41|63|72,7,20,11
1699,18|20|35|37|55|102,6,20,11
1700,18|20|35|39,4,39,11
1701,18|20|35|41|55|102,6,20,11
1702,18|20|35|43,4,20,11
1703,18|20|35|47|55|63|72|102,8,47,11
1704,18|20|35|48|55|58|63|72,8,20,11
1705,18|21|34|35|48,5,21,11
1706,18|22|23|35|52,5,23,11
1707,18|22|30|55|102,5,30,11
1708,18|22|35|49,4,49,11
1709,18|24|35|41,4,24,11
1710,18|25|35|39,4,39,11
1711,18|29|34|35|48|55|102,7,29,11
1712,18|29|34|35|55|101|102,7,29,11
1713,18|29|35|40,4,40,11
1714,18|29|35|48|63|72,6,29,11
1715,18|34|35|37|38,5,38,11
1716,18|34|35|38|48,5,38,11
1717,18|34|35|42|63|72|77|97,8,42,11
1718,18|34|35|43|53,5,53,11
1719,18|34|35|52|55|62|63|72,8,52,11
1720,18|35|37|52|100,5,100,11
1721,18|35|41|49|100,5,49,11
1722,18|35|41|77|97|100,6,100,11
1723,35|36|42,3,36,11
1724,35|37|74|79|80|83|97|120,8,37,11
1725,35|37|74|80|83|97|122,7,37,11
1726,35|40|43|55|102,5,40,11
1727,35|41|43|63|72,5,43,11
1728,35|41|55|62|63|72,6,62,11
1729,35|42|48|55|63|72|102,7,42,11
1730,35|43|48|52|63|72,6,52,11
1731,35|43|48|52|77|97,6,52,11
1732,35|48|52|63|70,5,70,11
1733,35|48|54|55|62,5,48,11
1734,35|48|63|72|77|97,6,48,11
1735,35|48|76|97|111,5,48,11
1736,35|49|50,3,50,11
1737,35|52|55|57,4,57,11
1738,35|55|62|63|72|101,6,101,11
1739,55|61|62,3,61,11
1740,55|62|74|78|97|122|132,7,62,11
1741,55|62|74|79|97|120|122,7,79,11
1742,55|62|76|97|107|111,6,62,11
1743,55|62|80|81|82,5,82,11
1744,63|67|70,3,67,11
1745,63|69|80|83,4,69,11
1746,74|75|76|97|107|112|113|118|122,9,118,11
1747,74|75|97|112|113|114|118|122,8,114,11
1748,74|75|97|112|113|120|126,7,113,11
1749,74|75|97|118,4,118,11
1750,74|75|97|118|126,5,118,11
1751,74|78|80|83|97|122|132,7,83,11
1752,75|76|97|107|112|114|118,7,114,11
1753,75|77|97|112|114,5,114,11
1754,1|2|55|102,4,2,10
1755,1|3|4|5|35|43,6,4,10
1756,1|3|18|19|63|72,6,3,10
1757,1|3|35|43|55|62,6,3,10
1758,1|3|35|43|63|72,6,3,10
1759,1|3|54,3,3,10
1760,1|3|77|97,4,3,10
1761,1|3|80|83,4,3,10
1762,1|4|6|76|97|111,6,4,10
1763,1|5|6|8|9,5,9,10
1764,1|5|8|9|55|102,6,9,10
1765,1|5|8|35|43|49,6,49,10
1766,1|5|9|80|83,5,9,10
1767,1|5|18|34,4,5,10
1768,1|5|35|37,4,37,10
1769,1|5|35|43|52|55|102,7,5,10
1770,1|5|35|48|52|55|102,7,5,10
1771,1|5|35|55|101|102,6,101,10
1772,1|5|76|97|107|111,6,5,10
1773,1|6|8|84|86,5,86,10
1774,1|8|55|62|63|72,6,8,10
1775,1|9|55|63|72|102,6,9,10
1776,13|14|18|25,4,14,10
1777,13|14|55|63|71|102,6,71,10
1778,18|19|29|63|72,5,29,10
1779,18|19|34|35|42|52|63|72,8,19,10
1780,18|19|35|37|48|63|72,7,19,10
1781,18|19|35|38|63|72,6,38,10
1782,18|19|35|43|48|63|72,7,19,10
1783,18|19|63|70,4,19,10
1784,18|20|25|35|52|63|72,7,25,10
1785,18|20|34|35|41|55|63|72|102,9,20,10
1786,18|20|34|35|48|55|63|72|102,9,20,10
1787,18|20|35|37|48|55|62|63|72,9,20,10
1788,18|20|35|40,4,40,10
1789,18|20|35|40|42|63|72,7,40,10
1790,18|20|35|41|48|55|63|72|102,9,20,10
1791,18|21|34|35|41|55|102,7,21,10
1792,18|21|34|35|52|55|102,7,21,10
1793,18|21|35|37|55|102,6,21,10
1794,18|21|35|42|55|102,6,21,10
1795,18|22|27,3,27,10
1796,18|22|34|35|101,5,22,10
1797,18|22|35|43|55|102,6,22,10
1798,18|23|24|55|102,5,24,10
1799,18|23|29,3,23,10
1800,18|23|31,3,31,10
1801,18|23|35|37|55|102,6,23,10
1802,18|23|77|97,4,23,10
1803,18|24|35|41|63|72,6,24,10
1804,18|25|35|38|55|63|72|102,8,38,10
1805,18|25|35|40|63|72,6,40,10
1806,18|25|35|42|48|63|72,7,25,10
1807,18|25|35|49|63|72,6,49,10
1808,18|25|55|58|63|72,6,25,10
1809,18|25|55|62,4,25,10
1810,18|27|35|43|55|102,6,27,10
1811,18|29|34|35|41,5,29,10
1812,18|30|35|42,4,30,10
1813,18|31|63|72,4,31,10
1814,18|34|35|38|55|63|72|102,8,38,10
1815,18|34|35|39|55|102,6,39,10
1816,18|34|35|43|52,5,52,10
1817,18|34|35|43|55|63|72|102,8,34,10
1818,18|34|35|48|55|62|63|72,8,34,10
1819,18|35|37|55|58|100,6,100,10
1820,18|35|41|50|100,5,50,10
1821,18|35|41|63|69|100,6,69,10
1822,18|35|42|77|97|100,6,100,10
1823,35|36|38,3,36,10
1824,35|37|38|63|72,5,38,10
1825,35|37|41|55|62|80|83,7,37,10
1826,35|37|48|55|63|72|102,7,37,10
1827,35|37|52|55|62|63|72,7,37,10
1828,35|38|55|62|63|72,6,38,10
1829,35|39|43|55|102,5,39,10
1830,35|42|48|52|63|72,6,42,10
1831,35|42|49|55|102,5,49,10
1832,35|42|55|58,4,42,10
1833,35|48|52|55|62|63|72,7,52,10
1834,35|48|52|63|72|77|97,7,52,10
1835,35|48|53,3,53,10
1836,35|48|80|83,4,83,10
1837,35|52|76|97|111,5,52,10
1838,35|52|80|83,4,52,10
1839,54|55|63|72|102,5,72,10
1840,55|59|63|70,4,59,10
1841,55|62|63|67,4,67,10
1842,55|62|74|79|80|83|97|120,8,79,10
1843,55|62|74|97|120|124,6,62,10
1844,55|62|79|80|81|83,6,81,10
1845,55|63|70|72|102,5,70,10
1846,55|63|70|95|96|102,6,95,10
1847,55|74|97|102|122,5,102,10
1848,63|64|66,3,64,10
1849,63|69|71,3,71,10
1850,63|70|76|77|97|111,6,70,10
1851,74|75|79|80|83|97|118|120,8,79,10
1852,74|75|80|83|97|112|113|118|122,9,83,10
1853,74|75|97|112|113|118|123,7,123,10
1854,74|75|97|112|113|120|123,7,123,10
1855,74|75|97|112|114|126,6,114,10
1856,74|75|97|118|125,5,125,10
1857,74|76|97|108|120,5,108,10
1858,74|97|120|123|124,5,123,10
1859,75|76|77|97|107|119,6,119,10
1860,75|76|78|97|111|119|132,7,119,10
1861,75|76|97|111|112|114,6,114,10
1862,75|77|97|112|113,5,113,10
1863,75|77|97|115|116,5,116,10
1864,75|77|97|118,4,118,10
1865,75|78|97|115|116|117|132,7,116,10
1866,78|80|83|97|132,5,83,10
1867,1|2|4,3,2,9
1868,1|2|5|8,4,2,9
1869,1|3|5|6|8,5,3,9
1870,1|3|35|43|52|55|102,7,3,9
1871,1|3|35|49,4,3,9
1872,1|3|63|72|80|81,6,3,9
1873,1|3|76|77|97|111,6,3,9
1874,1|4|5|6|55|102,6,4,9
1875,1|4|5|8|35|48,6,4,9
1876,1|4|5|10,4,10,9
1877,1|4|13|14,4,14,9
1878,1|4|18|20|63|72,6,4,9
1879,1|4|55|62|80|81,6,4,9
1880,1|5|6|8|55|62,6,6,9
1881,1|5|55|62|80|83,6,5,9
1882,1|6|10|35|43,5,10,9
1883,1|6|54|55|102,5,6,9
1884,1|6|63|71,4,71,9
1885,1|7|8,3,7,9
1886,1|8|35|37,4,37,9
1887,1|8|63|71,4,71,9
1888,1|9|79|80|83,5,9,9
1889,1|11|55|62,4,11,9
1890,1|12|80|81,4,12,9
1891,1|55|62|79|80|83|98,7,98,9
1892,13|14|55|62,4,14,9
1893,18|19|22|55|63|72|102,7,22,9
1894,18|19|24,3,24,9
1895,18|19|34|35|42,5,19,9
1896,18|19|34|35|42|48|55|63|72|102,10,19,9
1897,18|19|34|35|63|72|101,7,19,9
1898,18|19|35|37,4,19,9
1899,18|19|35|42|48,5,19,9
1900,18|20|25|34|63|72,6,25,9
1901,18|20|34|35|52|55|102,7,20,9
1902,18|20|34|35|63|72|101,7,20,9
1903,18|20|35|38|55|63|72|102,8,38,9
1904,18|20|35|41|48|63|72,7,20,9
1905,18|20|35|48|52|55|102,7,20,9
1906,18|21|22|55|102,5,21,9
1907,18|21|35|37|63|72,6,21,9
1908,18|21|77|97,4,21,9
1909,18|22|29|34|55|102,6,29,9
1910,18|22|34|35|55|101|102,7,22,9
1911,18|22|34|55|63|72|102,7,22,9
1912,18|22|35|43|48|55|102,7,22,9
1913,18|22|35|45,4,45,9
1914,18|22|35|48|52|77|97,7,22,9
1915,18|22|35|63|72|101,6,22,9
1916,18|23|26|55|102,5,26,9
1917,18|23|35|48|55|62,6,23,9
1918,18|23|35|52|55|63|72|102,8,23,9
1919,18|24|35|41|55|102,6,24,9
1920,18|26|27,3,26,9
1921,18|26|35|48|55|102,6,26,9
1922,18|26|35|55|101|102,6,26,9
1923,18|27|31,3,31,9
1924,18|27|35|42|63|72,6,27,9
1925,18|27|35|49,4,27,9
1926,18|28|35|48|55|102,6,28,9
1927,18|28|35|52|55|102,6,28,9
1928,18|29|35|48|55|62,6,29,9
1929,18|30|55|63|72|102,6,30,9
1930,18|32|34,3,32,9
1931,18|34|35|40|55|102,6,40,9
1932,18|34|35|41|48|55|63|72|102,9,34,9
1933,18|34|35|41|52|63|72,7,52,9
1934,18|34|35|41|55|62,6,34,9
1935,18|34|35|48|77|97,6,34,9
1936,18|34|35|63|70|101,6,70,9
1937,18|34|55|80|81|102,6,81,9
1938,18|35|38|41|55|100|102,7,38,9
1939,18|35|40|100,4,40,9
1940,18|35|41|55|77|97|100|102,8,100,9
1941,18|35|48|52|100,5,100,9
1942,18|35|48|55|100|102,6,100,9
1943,18|35|52|55|100|102,6,100,9
1944,18|77|97|100,4,100,9
1945,35|37|39|55|102,5,39,9
1946,35|37|54|55|62,5,37,9
1947,35|37|55|62|75|97|118,7,37,9
1948,35|39|43,3,39,9
1949,35|39|48|52,4,39,9
1950,35|39|55|58,4,39,9
1951,35|41|42|48,4,42,9
1952,35|41|42|48|63|72,6,42,9
1953,35|41|42|55|63|72|102,7,42,9
1954,35|42|48|55|62,5,42,9
1955,35|42|54,3,42,9
1956,35|43|48|49|55|102,6,49,9
1957,35|43|49|52|55|102,6,49,9
1958,35|43|52|55|63|72|102,7,52,9
1959,35|43|54|55|63|70|102,7,70,9
1960,35|43|63|69,4,69,9
1961,35|43|76|77|97|111,6,43,9
1962,35|48|49|55|62,5,49,9
1963,35|48|49|77|97,5,49,9
1964,35|48|55|58|62,5,58,9
1965,35|48|55|95|96|102,6,95,9
1966,35|50|77|97,4,50,9
1967,35|52|55|58|77|97,6,58,9
1968,35|63|69|101,4,69,9
1969,55|58|80|81,4,81,9
1970,55|60,2,60,9
1971,55|62|80|104,4,104,9
1972,63|70|90|96,4,90,9
1973,63|71|72,3,71,9
1974,63|80|83|103,4,103,9
1975,74|75|97|112|113|118|122|124,8,118,9
1976,74|75|97|112|114|121,6,114,9
1977,74|76|77|97|107|122,6,107,9
1978,74|77|78|97|120|122|132,7,122,9
1979,74|97|125|126,4,125,9
1980,75|76|77|97|111|115|116,7,116,9
1981,76|77|97,3,76,9
1982,76|78|97|107|127|132,6,127,9
1983,76|97|107|109|111,5,109,9
1984,84|85,2,85,9
1985,89|90|91|96,4,89,9
1986,1|3|4|55|63|72|102,7,4,8
1987,1|3|5|6|55|102,6,3,8
1988,1|3|5|55|62,5,3,8
1989,1|3|6|55|63|72|102,7,3,8
1990,1|3|6|55|102,5,3,8
1991,1|3|18|22|55|102,6,3,8
1992,1|3|18|34,4,3,8
1993,1|3|18|34|55|102,6,3,8
1994,1|3|35|42,4,3,8
1995,1|3|63|69,4,69,8
1996,1|4|5|6|63|72,6,4,8
1997,1|4|5|8|55|62,6,4,8
1998,1|4|5|35|52,5,4,8
1999,1|5|6|9|55|102,6,9,8
2000,1|5|8|35|37,5,37,8
2001,1|5|8|35|48|55|102,7,8,8
2002,1|5|8|63|69,5,69,8
2003,1|5|8|77|97,5,8,8
2004,1|5|18|22,4,22,8
2005,1|5|35|41,4,5,8
2006,1|5|35|48|63|72,6,5,8
2007,1|5|63|67,4,67,8
2008,1|6|10|55|102,5,10,8
2009,1|6|35|37|55|62,6,6,8
2010,1|6|35|55|101|102,6,6,8
2011,1|6|76|97,4,6,8
2012,1|6|76|97|107|111,6,6,8
2013,1|8|35|43|52,5,8,8
2014,1|8|35|49,4,49,8
2015,1|8|55|79|102,5,8,8
2016,1|8|63|72|76|97|111,7,8,8
2017,1|8|74|97|120,5,8,8
2018,1|10|18|19|55|102,6,10,8
2019,1|10|35|43|63|72,6,10,8
2020,1|10|35|101,4,10,8
2021,1|10|63|70,4,10,8
2022,1|55|62|63|72|98,6,98,8
2023,13|14|18|29,4,14,8
2024,13|14|63|71|80|81,6,71,8
2025,13|15|63|71,4,15,8
2026,13|16|63|71,4,16,8
2027,18|19|20|35|52|55|63|72|102,9,19,8
2028,18|19|23|55|63|72|102,7,23,8
2029,18|19|34|35|41|42|55|63|72|102,10,19,8
2030,18|19|34|35|48,5,19,8
2031,18|19|34|35|52,5,19,8
2032,18|19|34|35|52|55|63|72|102,9,19,8
2033,18|19|35|40,4,40,8
2034,18|19|35|41|52|63|72,7,19,8
2035,18|19|35|41|55|102,6,19,8
2036,18|19|35|43|52|55|63|72|102,9,19,8
2037,18|19|35|43|55|58|63|72,8,19,8
2038,18|19|35|43|55|102,6,19,8
2039,18|19|54,3,19,8
2040,18|20|23|55|63|72|102,7,23,8
2041,18|20|29|55|102,5,29,8
2042,18|20|34|35|41|63|72,7,20,8
2043,18|20|34|35|52,5,20,8
2044,18|20|35|37|48|63|72,7,20,8
2045,18|20|35|37|52|63|72,7,20,8
2046,18|20|35|41|42|63|72,7,20,8
2047,18|21|35|42|48|63|72,7,21,8
2048,18|21|55|58,4,21,8
2049,18|22|23|34|35|52|55|102,8,23,8
2050,18|22|28|55|102,5,28,8
2051,18|22|34|35|48|52,6,22,8
2052,18|22|35|42|48|55|102,7,22,8
2053,18|22|35|43|48,5,22,8
2054,18|22|35|52|55|63|72|102,8,22,8
2055,18|22|55|58,4,22,8
2056,18|23|34|35|48,5,23,8
2057,18|23|35|49,4,23,8
2058,18|24|25,3,24,8
2059,18|24|25|63|72,5,24,8
2060,18|24|35|42|55|63|72|102,8,24,8
2061,18|25|34|35|48,5,25,8
2062,18|25|35|41|55|63|72|102,8,25,8
2063,18|25|35|43|63|72,6,25,8
2064,18|27|35|37,4,27,8
2065,18|27|55|63|72|102,6,27,8
2066,18|29|35|37|52,5,29,8
2067,18|29|35|42|63|72,6,29,8
2068,18|29|35|48|52|55|102,7,29,8
2069,18|32|35|48|55|63|72|102,8,32,8
2070,18|34|35|38|42|63|72,7,38,8
2071,18|34|35|40|52,5,40,8
2072,18|34|35|41|48|63|72,7,34,8
2073,18|34|35|42|48|52,6,42,8
2074,18|34|35|42|48|55|63|72|102,9,42,8
2075,18|34|35|42|52|55|102,7,42,8
2076,18|34|35|42|55|62,6,42,8
2077,18|34|35|43|48,5,34,8
2078,18|34|35|47|63|72,6,47,8
2079,18|34|35|52|55|58,6,58,8
2080,18|34|35|52|77|97,6,52,8
2081,18|34|54|55|102,5,34,8
2082,18|34|80|83,4,34,8
2083,18|35|39|41|100,5,39,8
2084,18|35|41|42|55|63|72|100|102,9,100,8
2085,18|35|41|52|55|63|72|100|102,9,100,8
2086,18|63|70|100,4,70,8
2087,35|36|43|55|58,5,36,8
2088,35|37|55|62|80|81,6,81,8
2089,35|37|74|75|97|112|113|122,8,37,8
2090,35|37|74|79|80|83|97|120|122,9,37,8
2091,35|37|80|81,4,81,8
2092,35|39|54|55|102,5,39,8
2093,35|40|42|52,4,40,8
2094,35|41|43|52,4,52,8
2095,35|41|43|52|55|102,6,52,8
2096,35|41|48|77|97,5,48,8
2097,35|41|55|63|69|102,6,69,8
2098,35|41|95|96,4,95,8
2099,35|42|48|49|52,5,49,8
2100,35|42|49|77|97,5,49,8
2101,35|42|52|55|62,5,42,8
2102,35|42|63|72|77|97,6,42,8
2103,35|43|48|52|55|77|97|102,8,52,8
2104,35|43|48|53|55|102,6,53,8
2105,35|45|48|55|102,5,45,8
2106,35|48|49|52|55|102,6,49,8
2107,35|48|52|55|77|97|102,7,52,8
2108,35|48|55|58|77|97,6,58,8
2109,35|76|77|97|101|111,6,101,8
2110,54|55|56|57,4,56,8
2111,54|55|56|62,4,56,8
2112,55|62|63|70|80|81,6,70,8
2113,55|62|63|71|79,5,71,8
2114,63|69|72,3,69,8
2115,63|70|74|97|122,5,70,8
2116,63|70|76|97|107,5,70,8
2117,63|71|80|81,4,71,8
2118,74|75|76|78|97|107|118|120|132,9,118,8
2119,74|75|76|97|107|112|114|122,8,114,8
2120,74|75|78|80|83|97|118|122|132,9,83,8
2121,74|75|78|97|118|124|132,7,118,8
2122,74|75|97|118|122|123,6,123,8
2123,74|76|80|83|97|107|120,7,83,8
2124,74|76|97|108|122,5,108,8
2125,74|79|97|120|126,5,79,8
2126,74|97|121|124,4,121,8
2127,75|76|78|97|107|115|116|132,8,116,8
2128,75|76|97|108|112|113,6,108,8
2129,75|80|81|83|97|118,6,81,8
2130,76|77|78|97|111|130,6,130,8
2131,76|78|97|111|127|132,6,127,8
2132,77|78|97|127|132,5,127,8
2133,77|78|97|131|132,5,131,8
2134,94|96,2,94,8
2135,1|3|4|35|43|55|102,7,4,7
2136,1|3|4|35|43|63|72,7,4,7
2137,1|3|4|54,4,4,7
2138,1|3|5|6|63|72,6,3,7
2139,1|3|5|8|35|43,6,3,7
2140,1|3|6|10,4,10,7
2141,1|3|8|10,4,10,7
2142,1|3|10|63|72,5,10,7
2143,1|3|35|37|55|102,6,3,7
2144,1|3|55|63|70|102,6,3,7
2145,1|4|5|55|62,5,4,7
2146,1|4|6|8|63|72,6,4,7
2147,1|4|6|54,4,4,7
2148,1|4|6|63|69,5,69,7
2149,1|4|8|35|43,5,4,7
2150,1|4|8|55|63|72|102,7,4,7
2151,1|4|10|35|43,5,10,7
2152,1|4|10|80|81,5,10,7
2153,1|4|18|34,4,4,7
2154,1|4|35|41,4,4,7
2155,1|4|35|43|48|55|102,7,4,7
2156,1|4|35|55|101|102,6,4,7
2157,1|4|35|101,4,4,7
2158,1|5|6|63|70,5,6,7
2159,1|5|8|35|49,5,49,7
2160,1|5|8|93|96,5,93,7
2161,1|5|9|91|96,5,91,7
2162,1|5|55|76|97|102|111,7,5,7
2163,1|5|78|97|127,5,127,7
2164,1|6|9|55|102,5,9,7
2165,1|6|35|43|55|102,6,6,7
2166,1|6|55|76|97|102|111,7,6,7
2167,1|6|95|96,4,95,7
2168,1|8|35|48|55|62,6,8,7
2169,1|8|54,3,8,7
2170,1|8|84|105,4,105,7
2171,1|8|93|96,4,93,7
2172,1|9|35|43,4,9,7
2173,1|9|63|67,4,67,7
2174,1|10|80|81,4,10,7
2175,1|55|63|70|98|102,6,98,7
2176,1|76|97|98,4,98,7
2177,1|77|97|98,4,98,7
2178,13|14|18|20|55|63|72|102,8,14,7
2179,13|14|77|78|97|132,6,14,7
2180,13|17,2,17,7
2181,18|19|22|35|52|55|63|72|102,9,22,7
2182,18|19|23|63|72,5,23,7
2183,18|19|24|35|48|63|72,7,24,7
2184,18|19|25|63|72,5,25,7
2185,18|19|34|35|42|48|52|55|63|72|102,11,19,7
2186,18|19|35|37|55|62|63|72,8,19,7
2187,18|19|35|43|52|63|72,7,19,7
2188,18|19|35|55|58|63|72|101,8,19,7
2189,18|19|63|72|80|81,6,19,7
2190,18|20|25|35|63|72|101,7,25,7
2191,18|20|35|37|52|55|62|63|72,9,20,7
2192,18|20|35|38|52|63|72,7,38,7
2193,18|20|35|52|55|58|63|72,8,20,7
2194,18|20|54,3,20,7
2195,18|20|54|63|72,5,20,7
2196,18|21|35|36,4,36,7
2197,18|21|35|41|48,5,21,7
2198,18|22|23|35|101,5,23,7
2199,18|22|29|34,4,29,7
2200,18|22|34|35|42|55|102,7,22,7
2201,18|22|34|35|48|52|55|102,8,22,7
2202,18|22|34|35|52|63|72,7,22,7
2203,18|22|35|47,4,47,7
2204,18|22|55|95|96|102,6,95,7
2205,18|23|26,3,26,7
2206,18|23|29|55|102,5,23,7
2207,18|23|34|35|52,5,23,7
2208,18|24|25|55|63|72|102,7,24,7
2209,18|24|34|35|42,5,24,7
2210,18|24|34|35|48,5,24,7
2211,18|24|34|55|63|72|102,7,24,7
2212,18|24|35|37|63|72,6,24,7
2213,18|24|35|38,4,38,7
2214,18|24|35|43|55|102,6,24,7
2215,18|24|35|48|52|55|102,7,24,7
2216,18|24|35|48|52|63|72,7,24,7
2217,18|24|55|62,4,24,7
2218,18|25|34|35|52|55|63|72|102,9,25,7
2219,18|25|35|39|63|72,6,39,7
2220,18|25|35|42|52|63|72,7,25,7
2221,18|25|35|47|55|63|72|102,8,47,7
2222,18|25|55|63|72|95|96|102,8,95,7
2223,18|27|35|41|55|102,6,27,7
2224,18|28|34|55|102,5,28,7
2225,18|29|34|35|48|52,6,29,7
2226,18|29|34|55|63|72|102,7,29,7
2227,18|29|34|63|72,5,29,7
2228,18|30|35|43|55|102,6,30,7
2229,18|31|77|97,4,31,7
2230,18|32|35|52,4,32,7
2231,18|34|35|36|37,5,36,7
2232,18|34|35|41|49,5,49,7
2233,18|34|35|41|52|55|63|72|102,9,52,7
2234,18|34|35|42|48|52|55|63|72|102,10,42,7
2235,18|34|35|43|48|55|102,7,34,7
2236,18|34|35|43|52|55|102,7,52,7
2237,18|34|35|48|55|58,6,58,7
2238,18|34|35|49|52|63|72,7,49,7
2239,18|34|35|55|58|101,6,101,7
2240,18|34|63|72|80|81,6,81,7
2241,18|35|37|41|52|55|100|102,8,100,7
2242,18|35|37|41|55|63|72|100|102,9,100,7
2243,18|35|38|42|63|72|100,7,38,7
2244,18|35|41|49|55|100|102,7,49,7
2245,18|35|42|48|55|63|72|100|102,9,100,7
2246,35|37|41|48|55|102,6,37,7
2247,35|37|42,3,37,7
2248,35|37|48|52|55|62,6,37,7
2249,35|37|52|63|72,5,37,7
2250,35|37|55|62|74|97|120|122,8,37,7
2251,35|37|75|97|112|113,6,37,7
2252,35|39|41|55|102,5,39,7
2253,35|39|52|55|62,5,39,7
2254,35|40|42|49,4,40,7
2255,35|40|48|55|102,5,40,7
2256,35|40|52|55|102,5,40,7
2257,35|41|42|48|55|63|72|102,8,42,7
2258,35|41|43|48,4,48,7
2259,35|41|52|77|97,5,52,7
2260,35|41|55|62|80|83,6,83,7
2261,35|42|43|49,4,49,7
2262,35|42|43|63|72,5,42,7
2263,35|42|48|52|77|97,6,42,7
2264,35|43|48|52|55|63|72|102,8,52,7
2265,35|43|49|55|62,5,49,7
2266,35|43|49|63|72,5,49,7
2267,35|45|54,3,45,7
2268,35|46|49,3,46,7
2269,35|48|49|55|63|72|102,7,49,7
2270,35|48|52|55|58|63|72,7,58,7
2271,35|48|55|62|63|70,6,70,7
2272,35|48|95|96,4,95,7
2273,35|49|63|71,4,71,7
2274,35|50|55|62,4,50,7
2275,35|51|52,3,51,7
2276,35|52|55|61,4,61,7
2277,35|63|72|77|97|101,6,101,7
2278,54|55|63|70|77|97|102,7,70,7
2279,54|80|83,3,83,7
2280,55|62|74|76|97|107|120,7,62,7
2281,55|62|74|77|97|120,6,62,7
2282,55|62|76|97,4,62,7
2283,55|63|67|102,4,67,7
2284,63|70|74|97|120|122,6,70,7
2285,63|70|76|78|97|111|132,7,70,7
2286,63|70|95|96,4,95,7
2287,74|75|78|97|112|113|122|124|132,9,113,7
2288,74|75|78|97|112|114|122|132,8,114,7
2289,74|75|97|112|113|114|120|122,8,114,7
2290,74|75|97|112|114|122|126,7,114,7
2291,74|76|97|107|126,5,107,7
2292,74|78|97|120|127,5,127,7
2293,74|78|97|122|130,5,130,7
2294,74|80|83|97|120|124,6,83,7
2295,74|97|123|124,4,123,7
2296,75|76|77|97|111|115|117,7,117,7
2297,75|78|97|112|113|127,6,127,7
2298,75|80|83|97|119,5,119,7
2299,76|77|97|109|111,5,109,7
2300,78|84|85|97|127,5,85,7
2301,90|95|96,3,90,7
2302,1|2|3,3,2,6
2303,1|3|4|6|63|72,6,4,6
2304,1|3|4|8|63|72,6,4,6
2305,1|3|4|35|52,5,4,6
2306,1|3|5|35|48,5,3,6
2307,1|3|6|35|43,5,3,6
2308,1|3|8|55|102,5,3,6
2309,1|3|35|55|101|102,6,3,6
2310,1|4|5|6|8|35|43,7,4,6
2311,1|4|5|35|43|55|102,7,4,6
2312,1|4|6|10|63|72,6,10,6
2313,1|4|6|35|43|63|72,7,4,6
2314,1|4|6|35|52,5,4,6
2315,1|4|8|55|62,5,4,6
2316,1|4|8|76|97|111,6,4,6
2317,1|4|54|63|70,5,4,6
2318,1|4|77|97,4,4,6
2319,1|5|6|8|76|97|111,7,6,6
2320,1|5|6|8|84|86,6,86,6
2321,1|5|6|35|52,5,6,6
2322,1|5|6|76|77|97|111,7,6,6
2323,1|5|8|35|43|52|55|102,8,8,6
2324,1|5|8|35|48|52|55|102,8,8,6
2325,1|5|8|35|52|55|102,7,8,6
2326,1|5|8|54,4,8,6
2327,1|5|8|76|97,5,8,6
