type_group_key,type_set_label,n_types,primary_type,incident_count
199,74|97|123,3,123,855
200,35|48|55|63|72|102,6,48,845
201,1|79|98,3,98,815
202,1|5|6|8,4,6,802
203,74|97|121|122,4,121,800
204,18|22|35|52,4,22,799
205,35|52|55|62,4,52,791
206,35|41|63|72,4,41,790
207,76|97|109,3,109,784
208,35|43|48|55|102,5,48,775
209,18|34|35|41|55|102,6,34,756
210,18|21|55|102,4,21,752
211,18|27|55|102,4,27,735
212,74|75|97|112|113|118|120,7,118,722
213,18|24|55|102,4,24,721
214,18|19|35|42|63|72,6,19,712
215,18|19|35|48|63|72,6,19,707
216,35|53,2,53,697
217,74|80|83|97|120,5,83,688
218,18|20|35|48|63|72,6,20,687
219,76|78|97|107|111|132,6,107,659
220,18|35|37|100,4,100,656
221,75|78|97|118|132,5,118,648
222,1|4|6,3,4,639
223,55|62|79|80|83,5,79,634
224,18|30|55|102,4,30,626
225,18|19|35|63|72|101,6,19,612
226,35|77|97|101,4,101,610
227,74|75|78|97|118|122|132,7,118,606
228,78|97,2,78,604
229,76|97|107|110,4,110,603
230,35|41|52,3,52,601
231,74|75|97|118|124,5,118,599
232,18|31|55|102,4,31,593
233,75|78|97|112|113|132,6,113,592
234,35|43|52|55|102,5,52,589
235,76|78|97|111|127,5,127,577
236,74|75|97|112|113|118|120|122,8,118,571
237,35|48|55|58,4,58,567
238,18|34|35|52|63|72,6,52,563
239,35|51,2,51,559
240,18|20|35|52|63|72,6,20,547
241,91|96,2,91,547
242,35|37|80|83,4,37,544
243,1|3|4,3,4,536
244,55|62|75|97|118,5,62,530
245,18|22|35|48,4,22,523
246,35|43|63|72,4,43,522
247,18|19|35|52|63|72,6,19,516
248,1|5|8|55|102,5,8,512
249,74|75|78|97|118|120|132,7,118,512
250,18|25|55|102,4,25,511
251,18|34|35|52|55|102,6,52,505
252,18|26,2,26,501
253,35|36,2,36,492
254,18|63|72|100,4,100,490
255,18|29|35|52,4,29,484
256,55|62|63|70,4,70,482
257,74|80|83|97|122,5,83,482
258,18|28,2,28,481
259,76|77|78|97|111|132,6,132,479
260,18|20|35|63|72|101,6,20,476
261,35|37|63|72,4,37,472
262,74|76|97|107|122,5,107,471
263,1|8|76|97|111,5,8,470
264,1|3|63|72,4,3,465
265,35|43|49,3,49,465
266,74|75|78|97|118|120|122|132,8,118,463
267,35|53|55|102,4,53,460
268,18|55|100|102,4,100,453
269,1|6|76|97|111,5,6,446
270,74|75|78|97|112|113|120|132,8,113,439
271,75|78|97|115|117|132,6,117,438
272,1|4|5,3,4,437
273,35|37|41|55|102,5,37,435
274,18|34|35|63|72|101,6,101,433
275,1|3|5,3,3,429
276,18|24|55|63|72|102,6,24,428
277,18|35|41|55|58|100,6,100,422
278,1|6|55|102,4,6,421
279,74|75|97|112|113|120|124,7,113,421
280,35|42|48|63|72,5,42,408
281,74|75|97|112|114|120|122,7,114,397
282,18|23|35|52,4,23,396
283,1|5|35|43,4,5,391
284,35|48|52|77|97,5,52,385
285,74|76|97|111|122,5,122,377
286,74|97|120|121|122,5,121,376
287,18|34|35|42|55|102,6,42,374
288,76|97,2,76,374
289,18|34|35|48|63|72,6,34,370
290,35|41|55|63|72|102,6,41,362
291,18|25|35|52|63|72,6,25,360
292,1|4|8,3,4,358
293,55|57|59,3,57,354
294,1|4|54,3,4,352
295,55|62|74|97|120,5,62,352
296,18|34|35|38,4,38,351
297,35|38|63|72,4,38,348
298,35|37|79|80|83,5,37,346
299,1|8|55|102,4,8,345
300,35|55|63|72|101|102,6,101,342
301,54|55|63|70|102,5,70,337
302,35|42|55|102,4,42,333
303,18|22|35|52|55|102,6,22,332
304,18|29|35|48,4,29,331
305,1|5|76|97|111,5,5,324
306,55|62|74|97|122,5,62,324
307,35|49|63|72,4,49,318
308,54|55|57,3,57,309
309,18|22|35|101,4,22,308
310,76|97|108|111,4,108,303
311,74|79|80|83|97|120,6,79,302
312,35|42|52,3,42,300
313,1|4|63|72,4,4,296
314,35|43|77|97,4,43,296
315,18|25|35|48|63|72,6,25,294
316,63|65,2,65,294
317,1|5|35|48,4,5,293
318,18|34|35|55|101|102,6,101,291
319,74|97|120|122|123,5,123,291
320,35|48|52|55|102,5,52,290
321,18|23|35|48,4,23,289
322,18|32,2,32,289
323,75|80|83|97|112|113,6,83,288
324,18|29|34,3,29,287
325,55|62|75|97|112|113,6,62,287
326,90|96,2,90,286
327,35|41|55|62,4,62,281
328,74|75|78|97|112|113|122|132,8,113,278
329,80|82,2,82,277
330,35|41|42,3,42,275
331,18|20|35|48,4,20,274
332,18|29|35|101,4,29,271
333,74|78|97|121|132,5,121,264
334,74|97|120|121|122|125,6,125,264
335,18|34|35|42|55|63|72|102,8,42,259
336,18|35|42|55|100|102,6,100,259
337,18|29|35|41,4,29,258
338,1|4|5|8,4,4,257
339,35|41|43,3,43,256
340,74|75|97|112|113|123,6,123,255
341,74|78|97|120|131,5,131,254
342,63|66,2,66,251
343,18|20|35|52,4,20,249
344,77|78|97|131,4,131,249
345,18|28|55|102,4,28,248
346,74|75|97|112|113|122|124,7,113,248
347,18|21|35|41,4,21,247
348,35|41|77|97,4,41,247
349,35|41|52|55|102,5,52,245
350,18|34|35|37,4,37,239
351,1|3|35|43,4,3,237
352,18|34|63|70,4,70,237
353,74|78|97|120|124|132,6,132,237
354,75|76|97|107|112|113,6,113,237
355,75|76|97|107|110|119,6,110,236
356,35|49|63|70,4,49,232
357,80|81|83,3,81,232
358,1|5|8|35|43,5,8,230
359,1|5|63|72,4,5,229
360,74|76|77|97|111|120,6,111,229
361,35|41|48,3,48,228
362,18|20|35|48|55|63|72|102,8,20,225
363,18|20|35|101,4,20,225
364,74|77|97|122,4,122,224
365,18|25|35|63|72|101,6,25,219
366,74|97|124|125,4,125,219
367,18|34|35|48|55|102,6,34,217
368,35|38|55|102,4,38,216
369,18|23|35|101,4,23,214
370,75|97|118|119,4,119,212
371,74|76|97|107|120|122,6,107,211
372,35|52|54|55|102,5,52,210
373,74|75|80|83|97|112|113|120,8,83,210
374,18|34|35|49,4,49,209
375,54|55|56,3,56,209
376,1|5|6|55|102,5,6,208
377,1|6|10,3,10,208
378,18|22|35|48|55|102,6,22,208
379,63|70|76|97|111,5,70,207
380,35|41|43|55|102,5,43,206
381,35|47,2,47,206
382,35|42|77|97,4,42,204
383,35|45|48,3,45,204
384,18|19|34|63|72,5,19,202
385,1|6|55|62,4,6,201
386,18|35|37|55|100|102,6,100,201
387,35|41|49,3,49,200
388,35|48|49,3,49,200
389,35|52|54,3,52,198
390,18|20|34|63|72,5,20,196
391,18|35|41|63|72|100,6,100,196
392,35|43|49|55|102,5,49,196
393,76|78|97|107|127,5,127,196
394,18|21|35|101,4,21,195
395,35|37|55|62|80|83,6,37,193
396,1|5|8|76|97|111,6,8,192
397,18|19|35|42,4,19,191
398,18|22|34,3,22,190
399,18|35|37|41|100,5,100,189
400,18|35|38|100,4,38,189
401,18|19|55|58|63|72,6,19,188
402,18|21|35|52,4,21,188
403,35|43|55|62,4,43,188
404,18|25|35|52,4,25,186
405,35|37|52,3,37,186
406,18|19|35|48|55|63|72|102,8,19,185
407,75|77|97|119,4,119,185
408,1|8|10,3,10,184
409,1|76|97|98|111,5,98,184
410,1|6|8|63|72,5,6,183
411,74|75|97|112|113|120|122|124,8,113,182
412,63|70|77|97,4,70,179
413,18|34|55|58,4,58,178
414,35|40|42,3,40,178
415,55|58|63|72,4,58,175
416,75|76|97|111|119,5,119,172
417,54|55|61,3,61,171
418,63|69|80|81,4,69,171
419,18|21|35|48,4,21,170
420,35|52|63|70,4,70,170
421,1|8|35|43,4,8,168
422,13|14|63|71,4,71,168
423,18|19|35|48,4,19,168
424,74|75|97|118|122|124,6,118,167
425,18|20|35|37|63|72,6,20,166
426,1|63|72|98,4,98,165
427,35|52|54|55|58,5,58,165
428,35|49|77|97,4,49,164
429,18|20|35|42,4,20,163
430,35|43|53|55|58,5,53,163
431,18|19|35|52,4,19,162
432,55|62|63|72,4,62,162
433,76|97|109|111,4,109,162
434,75|80|81|97|119,5,81,161
435,80|81|82,3,82,161
436,1|4|35|43,4,4,160
437,18|20|35|52|55|63|72|102,8,20,160
438,35|40|63|72,4,40,160
439,35|63|70|101,4,70,160
440,54|55|59,3,59,160
441,74|97|120|124|126,5,126,158
442,18|24|35|42,4,24,156
443,35|48|54,3,48,155
444,18|24|35|52,4,24,154
445,74|75|78|97|112|113|120|122|132,9,113,154
446,35|48|52|63|72,5,52,153
447,18|19|35|101,4,19,152
448,18|22|35|55|101|102,6,22,150
449,35|36|55|102,4,36,150
450,35|54|55|101|102,5,101,149
451,18|19|35|52|55|63|72|102,8,19,148
452,18|35|42|55|63|72|100|102,8,100,146
453,1|5|8|63|72,5,8,145
454,13|16,2,16,145
455,55|80|83|102,4,83,145
456,35|52|55|63|72|102,6,52,144
457,77|78|97|127,4,127,144
458,35|49|55|58,4,49,142
459,54|55|62|63|70,5,70,141
460,55|80|81|102,4,81,141
461,74|78|97|120|126|132,6,126,141
462,1|4|10,3,10,140
463,1|6|9,3,9,140
464,1|5|55|62,4,5,139
465,35|48|52|55|62,5,52,139
466,13|14|63|72,4,14,138
467,35|48|55|58|63|72,6,58,138
468,18|20|55|58|63|72,6,20,137
469,54|55|58|63|70,5,70,137
470,18|26|55|102,4,26,136
471,74|80|83|97|120|122,6,83,136
472,1|9|55|62,4,9,134
473,55|59|61,3,61,134
474,18|25|35|48,4,25,131
475,35|43|55|63|72|102,6,43,131
476,1|3|55|58,4,3,130
477,35|43|48|52,4,52,130
478,18|29|34|55|102,5,29,129
479,18|20|35|55|63|72|101|102,8,20,127
480,13|15,2,15,126
481,35|42|43,3,42,126
482,18|22|34|55|102,5,22,125
483,18|25|35|42|63|72,6,25,125
484,74|75|97|112|114|118|120,7,114,125
485,74|75|97|118|120|124,6,118,125
486,55|57|62,3,57,124
487,18|20|35|38|63|72,6,38,123
488,18|25|34|63|72,5,25,122
489,74|75|79|80|83|97|112|113|120,9,79,122
490,74|78|97|120|121|122|132,7,121,122
491,75|76|97|107|118,5,118,122
492,35|37|41|55|62,5,37,121
493,63|71|79,3,71,121
494,74|75|97|115|116|120,6,116,121
495,74|97|122|125,4,125,121
496,1|3|5|8,4,3,120
497,18|29|35|52|55|102,6,29,120
498,18|24|35|63|72|101,6,24,119
499,78|97|127|132,4,127,119
500,1|5|91|96,4,91,117
501,35|54|101,3,101,117
502,55|58|77|97,4,58,117
503,78|97|130|132,4,130,117
504,1|5|35|52,4,5,116
505,18|23|35|52|55|102,6,23,116
506,35|37|48,3,37,116
507,55|62|74|97|120|122,6,62,116
508,18|19|35|55|63|72|101|102,8,19,115
509,18|35|37|41|55|100|102,7,100,115
510,74|75|80|83|97|118|122,7,83,115
511,74|75|97|123,4,123,115
512,1|63|70|98,4,98,114
513,18|24|35|48|63|72,6,24,114
514,18|35|100|101,4,100,114
515,1|6|55|63|72|102,6,6,113
516,18|24|35|48,4,24,113
517,74|75|97|118|120|122|124,7,118,113
518,18|20|35|42|55|63|72|102,8,20,112
519,89|96,2,89,112
520,18|34|77|97,4,34,111
521,35|37|79,3,37,111
522,35|43|48|63|72,5,48,111
523,18|19|35|43|63|72,6,19,110
524,18|25|34,3,25,110
525,18|25|35|101,4,25,109
526,35|40|48,3,40,109
527,18|20|34,3,20,108
528,35|49|55|62,4,49,108
529,74|78|97|121|122|132,6,121,107
530,1|5|63|70,4,70,105
531,1|55|62|98,4,98,105
532,35|43|52|55|58,5,58,105
533,55|76|97|102|111,5,102,105
534,74|78|97|120|122|124|132,7,122,105
535,76|97|108|109,4,109,105
536,1|3|55|62,4,3,104
537,63|72|77|97,4,72,104
538,18|22|35|42|55|102,6,22,103
539,18|34|35|41|63|72,6,34,103
540,35|48|63|70,4,70,103
541,74|75|80|83|97|118|120,7,83,102
542,1|4|35|48,4,4,101
543,1|3|6,3,3,100
544,1|4|55|62,4,4,100
545,1|6|63|70,4,6,100
546,18|27|35|52,4,27,100
547,74|78|97|120|121|132,6,121,100
548,74|79|97|120|122,5,79,100
549,76|77|78|97|107|132,6,107,100
550,76|97|107|109,4,109,100
551,1|8|55|62,4,8,99
552,18|34|55|62,4,34,99
553,74|78|97|122|124|132,6,122,99
554,18|21|55|63|72|102,6,21,98
555,1|5|8|9,4,9,97
556,1|5|8|55|62,5,8,97
557,18|35|41|55|63|72|100|102,8,100,97
558,35|40|49,3,40,97
559,35|42|55|63|72|102,6,42,97
560,75|97|112|113|115|117,6,117,97
561,76|97|110|111,4,110,97
562,1|5|8|35|48,5,8,96
563,1|12,2,12,96
564,18|19|34,3,19,96
565,63|70|78|97|132,5,70,96
566,74|78|97|126|132,5,126,96
567,18|20|35|41|63|72,6,20,95
568,63|70|80|83,4,70,95
569,18|22|23,3,23,94
570,35|53|55|58,4,53,94
571,74|77|97|120|122,5,122,94
572,1|4|76|97|111,5,4,93
573,18|21|34,3,21,93
574,18|34|35|48|52,5,52,93
575,35|46,2,46,93
576,55|62|80|81|83,5,81,93
577,1|4|5|6,4,4,92
578,35|37|54,3,37,92
579,55|62|76|97|107,5,62,92
580,63|64,2,64,92
581,75|76|97|107|115|116,6,116,92
582,76|97|107|108,4,108,92
583,35|55|62|101,4,101,91
584,54|55|77|97|102,5,54,91
585,18|20|25|63|72,5,25,90
586,18|23|35|48|55|102,6,23,90
587,35|36|43,3,36,90
588,18|29|63|72,4,29,89
589,35|41|42|55|102,5,42,89
590,35|49|52|55|102,5,49,89
591,75|97|115|116|117,5,116,89
592,1|10|63|72,4,10,88
593,18|22|63|72,4,22,88
594,63|72|76|97|111,5,72,88
595,74|75|97|120,4,75,88
596,1|3|8,3,3,87
597,18|29|35|37,4,29,87
598,18|34|35|38|63|72,6,38,87
599,18|34|35|43,4,34,87
600,18|31|35|52,4,31,86
601,18|55|63|72|100|102,6,100,86
602,74|75|76|97|107|118|122,7,118,86
603,76|77|97|108,4,108,86
604,76|78|97|110|132,5,110,86
605,77|78|97|130,4,130,86
606,1|11,2,11,85
607,18|34|35|42|52,5,42,85
608,74|97|120|122|125,5,125,85
609,74|97|124|126,4,126,85
610,91|95|96,3,91,85
611,1|9|55|102,4,9,84
612,18|21|35|42,4,21,84
613,18|29|35|41|55|102,6,29,84
614,35|37|74|97|120,5,37,84
615,35|44,2,44,84
616,74|76|97|107|111|120,6,107,84
617,1|3|35|43|55|102,6,3,83
618,1|6|35|43,4,6,83
619,1|55|98|102,4,98,83
620,18|29|35|48|55|102,6,29,83
621,80|104,2,104,83
622,1|3|35|48,4,3,82
623,1|5|6|9,4,9,82
624,18|34|35|39,4,39,82
625,35|47|48,3,47,82
626,35|37|55|63|72|102,6,37,81
627,35|43|48|52|55|102,6,52,81
628,1|4|63|70,4,4,80
629,18|34|35|40,4,40,80
630,35|37|55|62|79|80|83,7,37,80
631,35|40|55|102,4,40,80
632,74|76|97|111|120|122,6,122,80
633,75|76|97|107|112|114,6,114,80
634,1|6|63|69,4,69,79
635,18|35|41|52|100,5,100,79
636,35|36|41,3,36,79
637,35|37|52|55|62,5,37,79
638,35|39|55|102,4,39,79
639,75|78|97|112|114|132,6,114,79
640,18|24|35|101,4,24,78
641,18|35|41|42|100,5,100,78
642,35|36|37,3,36,78
643,63|70|79|80|83,5,70,78
644,1|5|6|63|72,5,6,77
645,1|8|35|48,4,8,77
646,1|5|9|55|102,5,9,76
647,1|5|93|96,4,93,76
648,35|41|48|55|102,5,48,76
649,35|45|52,3,45,76
650,1|79|80|83|98,5,98,75
651,54|63|72,3,72,75
652,74|75|76|97|107|112|113|120,8,113,75
653,1|4|80|81,4,4,74
654,18|22|35|48|52,5,22,74
655,18|24|55|58|63|72,6,24,74
656,18|25|35|42,4,25,74
657,18|27|35|101,4,27,74
658,18|29|35|42,4,29,74
659,55|62|74|75|97|118|120,7,62,74
660,55|62|74|75|97|118|122,7,62,74
661,74|79|97|122,4,79,74
662,1|5|13|14,4,14,73
663,1|6|8|10,4,10,73
664,18|21|35|37,4,21,73
665,18|23|63|72,4,23,73
666,35|41|48|63|72,5,48,73
667,35|50|63|70,4,50,73
668,74|80|83|97|124,5,83,73
669,1|5|55|63|72|102,6,5,72
670,18|27|35|48,4,27,72
671,35|43|48|55|58,5,58,72
672,35|45|55|102,4,45,72
673,1|4|6|63|72,5,4,71
674,18|22|35|42,4,22,71
675,18|35|38|63|72|100,6,38,71
676,1|8|84|86,4,86,70
677,18|25|35|52|55|63|72|102,8,25,70
678,35|42|55|62,4,42,70
679,35|54|55|58|101,5,101,70
680,18|34|35|42|52|63|72,7,42,69
681,35|37|77|97,4,37,69
682,1|9|80|83,4,9,68
683,18|23|35|55|101|102,6,23,68
684,35|38|41,3,38,68
685,55|76|77|97|102|111,6,102,68
686,1|5|35|43|55|102,6,5,67
687,13|14|78|97|132,5,14,67
688,18|21|35|42|63|72,6,21,67
689,18|25|35|48|55|63|72|102,8,25,67
690,63|70|74|97|120,5,70,67
691,63|70|80|81,4,70,67
692,74|75|76|97|107|118|120,7,118,67
693,1|5|7,3,7,66
694,18|22|23|55|102,5,23,66
695,18|27|63|72,4,27,66
696,18|34|35|37|55|102,6,37,66
697,18|34|35|52|55|63|72|102,8,52,66
698,35|42|48|52,4,42,66
699,35|42|49|63|72,5,49,66
700,1|3|55|63|72|102,6,3,65
701,1|8|55|63|72|102,6,8,65
702,18|23|34,3,23,65
703,1|6|84|86,4,86,64
704,18|20|35|37|55|63|72|102,8,20,64
705,18|24|35|52|63|72,6,24,64
706,55|62|74|97|124,5,62,64
707,18|19|20|63|72,5,19,63
708,18|20|35|41|55|63|72|102,8,20,63
709,18|32|55|102,4,32,63
710,76|77|78|97|107|111|132,7,107,63
711,1|4|8|63|72,5,4,62
712,18|20|35|48|55|102,6,20,62
713,18|31|35|48,4,31,62
714,35|37|38,3,38,62
715,74|75|97|112|113|125,6,125,62
716,74|76|78|97|107|120|132,7,107,62
717,75|97|115|117|119,5,117,62
718,18|21|35|52|63|72,6,21,61
719,18|24|35|42|63|72,6,24,61
720,55|62|74|75|97|112|113|120,8,62,61
721,74|75|97|112|113|118|124,7,118,61
722,18|24|34,3,24,60
723,18|29|35|55|101|102,6,29,60
724,35|37|55|58,4,37,60
725,35|37|55|62|79,5,37,60
726,74|97|122|123,4,123,60
727,1|4|6|8,4,4,59
728,18|19|34|35|42|63|72,7,19,59
729,18|21|35|48|63|72,6,21,59
730,35|37|39,3,39,59
731,35|37|49,3,49,59
732,1|5|35|48|52,5,5,58
733,18|20|34|55|63|72|102,7,20,58
734,18|34|35|41|55|58,6,58,58
735,55|62|74|79|97|120,6,79,58
736,74|75|97|118|123,5,123,58
737,1|3|4|63|72,5,4,57
738,18|34|35|48|55|63|72|102,8,34,57
739,63|103,2,103,57
740,18|20|35|52|55|102,6,20,56
741,18|20|35|55|101|102,6,20,56
742,18|34|35|41|55|63|72|102,8,34,56
743,35|40|52,3,40,56
744,35|41|50,3,50,56
745,35|42|52|63|72,5,42,56
746,35|43|54|55|102,5,43,56
747,74|75|76|97|107|118|120|122,8,118,56
748,1|4|5|6|8,5,4,55
749,1|5|10,3,10,55
750,18|25|35|55|63|72|101|102,8,25,55
751,18|34|35|50,4,50,55
752,35|36|43|55|102,5,36,55
753,55|62|77|97,4,62,55
754,74|75|97|119|120,5,119,55
755,75|76|97|111|115|116,6,116,55
756,75|76|97|111|115|117,6,117,55
757,18|20|55|62|63|72,6,20,54
758,18|35|41|52|55|100|102,7,100,54
759,35|48|49|52,4,49,54
760,74|75|79|97|112|113|120,7,79,54
761,1|3|5|55|102,5,3,53
762,1|7,2,7,53
763,18|19|35|37|63|72,6,19,53
764,18|31|35|101,4,31,53
765,35|37|74|97|120|122,6,37,53
766,1|2|5,3,2,52
767,1|6|35|48,4,6,52
768,35|37|74|97|122,5,37,52
769,35|38|52,3,38,52
770,74|75|76|97|107|112|113|122,8,113,52
771,74|75|80|83|97|112|113|120|122,9,83,52
772,93|96,2,93,52
773,1|4|35|52,4,4,51
774,18|19|35|42|55|63|72|102,8,19,51
775,18|21|35|38,4,38,51
776,18|30|35|101,4,30,51
777,18|33,2,33,51
778,18|34|35|42|48|63|72,7,42,51
779,18|35|37|63|72|100,6,100,51
780,18|35|52|100,4,100,51
781,35|40|41,3,40,51
782,55|79|80|83|102,5,79,51
783,76|78|97|107|111|127,6,127,51
784,18|22|29,3,29,50
785,35|43|48|55|63|72|102,7,48,50
786,55|59|62,3,59,50
787,55|91|95|96|102,5,91,50
788,74|75|78|97|112|113|118|120|132,9,118,50
789,76|78|97|111|130,5,130,50
790,1|3|80|81,4,3,49
791,18|30|35|52,4,30,49
792,18|34|35|42|48,5,42,49
793,55|57|61,3,61,49
794,55|63|71|102,4,71,49
795,74|75|97|112|114|118|122,7,114,49
796,74|76|77|97|111|122,6,122,49
797,1|6|8|55|102,5,6,48
798,18|22|29|55|102,5,29,48
799,18|34|35|52|55|62,6,52,48
800,35|43|54,3,43,48
801,74|75|78|97|112|113|118|120|122|132,10,118,48
802,1|5|8|35|52,5,8,47
803,1|8|35|52,4,8,47
804,18|23|24,3,24,47
805,35|38|48,3,38,47
806,35|38|55|62,4,38,47
807,35|39|49,3,39,47
808,55|62|76|97|111,5,62,47
809,74|75|78|97|112|113|118|122|132,9,118,47
810,1|5|80|83,4,5,46
811,1|9|63|72,4,9,46
812,18|21|35|63|72|101,6,21,46
